Area,Months,Year,Temperature change,RollingMean_5Y
France,January,1969,1.412,1.412
France,February,1969,-2.093,-2.093
France,March,1969,-0.21,-0.21
France,April,1969,-0.011,-0.011
France,May,1969,0.49,0.49
France,June,1969,-1.203,-1.203
France,July,1969,0.845,0.845
France,August,1969,0.079,0.079
France,September,1969,0.101,0.101
France,October,1969,1.576,1.576
France,November,1969,0.265,0.265
France,December,1969,-2.911,-2.911
France,,1969,-0.574,
France,,1969,0.09,
France,,1969,-0.093,
France,,1969,0.647,
France,,1969,0.018,
France,January,1970,0.917,1.1644999999999999
France,February,1970,0.072,-1.0105
France,March,1970,-2.248,-1.229
France,April,1970,-1.434,-0.7224999999999999
France,May,1970,-0.083,0.2035
France,June,1970,1.575,0.18599999999999994
France,July,1970,-0.377,0.23399999999999999
France,August,1970,0.411,0.245
France,September,1970,1.156,0.6285
France,October,1970,-0.277,0.6495
France,November,1970,1.999,1.1320000000000001
France,December,1970,-1.749,-2.33
France,,1970,-0.641,
France,,1970,-1.255,
France,,1970,0.536,
France,,1970,0.959,
France,,1970,-0.1,
France,January,1971,-0.025,0.7679999999999999
France,February,1971,-0.101,-0.7073333333333333
France,March,1971,-3.045,-1.8343333333333334
France,April,1971,1.486,0.013666666666666716
France,May,1971,0.882,0.42966666666666664
France,June,1971,-1.194,-0.274
France,July,1971,1.405,0.6243333333333333
France,August,1971,0.907,0.4656666666666667
France,September,1971,-0.069,0.39599999999999996
France,October,1971,0.866,0.7216666666666667
France,November,1971,-1.385,0.2930000000000001
France,December,1971,0.589,-1.357
France,,1971,-0.625,
France,,1971,-0.226,
France,,1971,0.373,
France,,1971,-0.196,
France,,1971,-0.168,
France,January,1972,-0.007,0.57425
France,February,1972,1.353,-0.19224999999999998
France,March,1972,1.335,-1.042
France,April,1972,-0.368,-0.08174999999999996
France,May,1972,-1.12,0.042249999999999954
France,June,1972,-1.773,-0.6487499999999999
France,July,1972,-0.224,0.41225
France,August,1972,-1.041,0.08900000000000002
France,September,1972,-2.611,-0.35575000000000007
France,October,1972,-0.741,0.356
France,November,1972,0.615,0.37350000000000005
France,December,1972,0.351,-0.93
France,,1972,0.645,
France,,1972,-0.051,
France,,1972,-1.013,
France,,1972,-0.912,
France,,1972,-0.333,
France,January,1973,-0.204,0.41859999999999997
France,February,1973,-0.953,-0.3444
France,March,1973,-0.803,-0.9942
France,April,1973,-1.664,-0.39819999999999994
France,May,1973,0.848,0.20339999999999997
France,June,1973,0.78,-0.363
France,July,1973,-0.054,0.319
France,August,1973,2.051,0.4814
France,September,1973,1.124,-0.059800000000000034
France,October,1973,-0.927,0.0994
France,November,1973,0.036,0.30600000000000005
France,December,1973,-0.585,-0.861
France,,1973,-0.269,
France,,1973,-0.54,
France,,1973,0.926,
France,,1973,0.078,
France,,1973,0.049,
France,January,1974,2.863,0.7088
France,February,1974,1.139,0.30200000000000005
France,March,1974,0.72,-0.8082
France,April,1974,0.049,-0.3862
France,May,1974,-0.522,0.0009999999999999564
France,June,1974,-0.259,-0.17419999999999997
France,July,1974,-0.521,0.045799999999999993
France,August,1974,0.676,0.6008
France,September,1974,-1.133,-0.30660000000000004
France,October,1974,-4.092,-1.0341999999999998
France,November,1974,0.539,0.36080000000000007
France,December,1974,2.37,0.19519999999999998
France,,1974,1.139,
France,,1974,0.082,
France,,1974,-0.035,
France,,1974,-1.562,
France,,1974,-0.094,
France,January,1975,2.95,1.1154
France,February,1975,1.357,0.5589999999999999
France,March,1975,-1.279,-0.6144000000000001
France,April,1975,-0.181,-0.1356
France,May,1975,-0.82,-0.14640000000000003
France,June,1975,-0.388,-0.5668
France,July,1975,0.785,0.2782
France,August,1975,1.732,0.8649999999999999
France,September,1975,0.457,-0.4464
France,October,1975,-1.068,-1.1924
France,November,1975,-0.285,-0.09599999999999999
France,December,1975,-1.326,0.2798
France,,1975,2.226,
France,,1975,-0.76,
France,,1975,0.71,
France,,1975,-0.299,
France,,1975,0.469,
France,January,1976,0.737,1.2678
France,February,1976,0.725,0.7242
France,March,1976,-0.61,-0.1274
France,April,1976,-0.396,-0.512
France,May,1976,0.963,-0.13020000000000007
France,June,1976,3.046,0.2812
France,July,1976,1.796,0.3564
France,August,1976,0.676,0.8187999999999999
France,September,1976,-1.072,-0.647
France,October,1976,0.145,-1.3366
France,November,1976,-0.442,0.0926
France,December,1976,-1.023,-0.04259999999999997
France,,1976,0.045,
France,,1976,-0.014,
France,,1976,1.839,
France,,1976,-0.456,
France,,1976,0.353,
France,January,1977,0.408,1.3508
France,February,1977,2.484,0.9503999999999999
France,March,1977,1.95,-0.004400000000000004
France,April,1977,-0.72,-0.5824
France,May,1977,-0.768,-0.059800000000000055
France,June,1977,-1.119,0.4119999999999999
France,July,1977,-0.633,0.27460000000000007
France,August,1977,-1.203,0.7864
France,September,1977,-1.075,-0.3398
France,October,1977,1.54,-0.8804000000000001
France,November,1977,0.241,0.017800000000000003
France,December,1977,1.209,0.12900000000000006
France,,1977,0.623,
France,,1977,0.154,
France,,1977,-0.985,
France,,1977,0.235,
France,,1977,0.007,
France,January,1978,-0.018,1.3880000000000001
France,February,1978,-0.022,1.1366
France,March,1978,0.76,0.3082
France,April,1978,-1.266,-0.5028
France,May,1978,-0.635,-0.35640000000000005
France,June,1978,-0.951,0.06579999999999997
France,July,1978,-1.001,0.08520000000000003
France,August,1978,-0.829,0.21039999999999998
France,September,1978,-0.074,-0.5793999999999999
France,October,1978,0.136,-0.6678
